index,light,lat,long,accel_x,ACCELEROMETER Y,ACCELEROMETER Z,LOCATION Accuracy,elapsed,timestamp,geometry
144,0.0,50.38658,-4.146472,-3.841,-13.7459,-3.3916,4.0,144015,2019-08-30 20:54:14:874,POINT (-4.146472 50.38658)
145,0.0,50.386590000000005,-4.146468,-0.6704,-8.4954,0.8038,4.0,145015,2019-08-30 20:54:15:874,POINT (-4.146468 50.38659000000001)
146,0.0,50.386596999999995,-4.1464620000000005,1.0702,-5.6578,2.0824,4.0,146016,2019-08-30 20:54:16:875,POINT (-4.146462000000001 50.38659699999999)
147,0.0,50.386593,-4.146446,-0.7966,-10.7352,-6.8875,4.0,147015,2019-08-30 20:54:17:874,POINT (-4.146446 50.386593)
148,0.0,50.38661,-4.146439,1.2229,-7.9677,0.9395,4.0,148015,2019-08-30 20:54:18:874,POINT (-4.146439 50.38661)
149,0.0,50.38662,-4.146439,2.9034,-13.3631,3.0084,4.0,149015,2019-08-30 20:54:19:874,POINT (-4.146439 50.38662)
150,0.0,50.38662,-4.146426,-2.8939999999999997,-10.3662,-0.9658,4.0,150017,2019-08-30 20:54:20:876,POINT (-4.146426 50.38662)
151,0.0,50.38663,-4.146426,-2.8154,-9.2126,-0.1936,3.0,151015,2019-08-30 20:54:21:874,POINT (-4.146426 50.38663)
152,0.0,50.38664,-4.146412000000001,-2.6347,-7.7611,3.2926,3.0,152015,2019-08-30 20:54:22:874,POINT (-4.146412000000001 50.38664)
153,0.0,50.386646,-4.1463980000000005,-4.8039,-16.6579,-10.3369,3.0,153015,2019-08-30 20:54:23:874,POINT (-4.146398 50.386646)
154,0.0,50.386646,-4.146383,-0.7848,-7.0508,1.0057,3.0,154015,2019-08-30 20:54:24:874,POINT (-4.146383 50.386646)
155,0.0,50.386654,-4.146367,4.8975,-13.2962,2.2229,3.0,155016,2019-08-30 20:54:25:875,POINT (-4.146367 50.386654)
156,0.0,50.386665,-4.146351,-1.275,-9.375,-0.3208,3.0,156016,2019-08-30 20:54:26:875,POINT (-4.146351 50.386665)
157,0.0,50.386672999999995,-4.146346,-4.0094,-8.9479,1.1987,3.0,157015,2019-08-30 20:54:27:874,POINT (-4.146346 50.38667299999999)
158,0.0,50.386672999999995,-4.146318,3.3938,-16.0634,5.1932,3.0,158020,2019-08-30 20:54:28:879,POINT (-4.146318 50.38667299999999)
159,0.0,50.386672999999995,-4.146289,1.3471,-4.3654,-0.9267,3.0,159016,2019-08-30 20:54:29:875,POINT (-4.146289 50.38667299999999)
160,0.0,50.38668,-4.146281,-0.1578,-9.2131,0.5294,3.0,160024,2019-08-30 20:54:30:883,POINT (-4.146281 50.38668)
161,0.0,50.38668,-4.146257,-2.1788,-15.1043,-2.0981,3.0,161016,2019-08-30 20:54:31:875,POINT (-4.146257 50.38668)
162,0.0,50.38669,-4.146247,-1.864,-9.6169,-0.4605,3.0,162015,2019-08-30 20:54:32:874,POINT (-4.146247 50.38669)
163,0.0,50.386703000000004,-4.146223,-3.3994,-11.508,1.4023,3.0,163015,2019-08-30 20:54:33:874,POINT (-4.146223 50.386703)
164,0.0,50.386703000000004,-4.146204,3.5013,-10.6625,-2.2232,3.0,164015,2019-08-30 20:54:34:874,POINT (-4.146204 50.386703)
165,0.0,50.386715,-4.146186,2.2414,-6.9989,-4.2722,3.0,165016,2019-08-30 20:54:35:875,POINT (-4.146186 50.386715)
166,0.0,50.386720000000004,-4.146175,0.8881,-6.5762,2.0362,3.0,166016,2019-08-30 20:54:36:875,POINT (-4.146175 50.38672)
167,0.0,50.386720000000004,-4.146157,-4.1365,-14.5214,-3.6806,3.0,167016,2019-08-30 20:54:37:875,POINT (-4.146157 50.38672)
168,0.0,50.386715,-4.146132,-3.8481,-9.7873,-2.2032,3.0,168015,2019-08-30 20:54:38:874,POINT (-4.146132 50.386715)
169,0.0,50.386726,-4.146116,-0.7976,-8.2315,-0.0509,3.0,169015,2019-08-30 20:54:39:874,POINT (-4.146116 50.386726)
170,0.0,50.386726,-4.1460989999999995,-3.2148,-11.937999999999999,2.8047,3.0,170015,2019-08-30 20:54:40:874,POINT (-4.146099 50.386726)
171,0.0,50.38673,-4.146085,-6.7193,-17.5775,-13.1513,3.0,171015,2019-08-30 20:54:41:874,POINT (-4.146085 50.38673)
172,0.0,50.38674,-4.146077,1.3414,-6.997000000000001,1.7635,3.0,172015,2019-08-30 20:54:42:874,POINT (-4.146077 50.38674)
173,0.0,50.386745,-4.146066,2.9961,-12.8325,2.8246,3.0,173016,2019-08-30 20:54:43:875,POINT (-4.146066 50.386745)
174,0.0,50.386745,-4.146066,-1.9573,-9.1162,0.3444,3.0,174015,2019-08-30 20:54:44:874,POINT (-4.146066 50.386745)
175,0.0,50.38677,-4.146057,0.6384,-8.181000000000001,0.7586,3.0,175015,2019-08-30 20:54:45:874,POINT (-4.146057 50.38677)
176,0.0,50.38678,-4.146051,-2.8475,-9.75,5.3209,3.0,176014,2019-08-30 20:54:46:873,POINT (-4.146051 50.38678)
177,0.0,50.38678,-4.146051,1.6680000000000001,-3.6266,-2.1304,3.0,177015,2019-08-30 20:54:47:874,POINT (-4.146051 50.38678)
